"COLUMN_NAME","DATA_TYPE","NULLABLE","DATA_DEFAULT","COLUMN_ID","COMMENTS"
"MIN_INITIAL_PURCHASE_NTD","NUMBER(12,0)","Yes","",99,"台幣最低首次申購金額"
"MIN_RED_AMOUNT","NUMBER(12,0)","Yes","",88,"最低買回金額"
"MIN_RED_AMOUNT_NTD","NUMBER(12,0)","Yes","",102,"台幣最低買回金額"
"MIN_RED_SHARE","NUMBER(12,1)","Yes","",62,"最低買回單位數"
"NAME","VARCHAR2(500 BYTE)","Yes","",2,"基金名稱"
"NAV_DECIMAL","NUMBER(1,0)","Yes","",50,"淨值小數位數"
"NTD_RSP_RANGE","NUMBER(5,0)","Yes","",148,"定額台幣級距"
"OFFERING_TYPE","VARCHAR2(1 BYTE)","Yes","",59,"募集方式  1.公開募集 2.私募"
"OF_RATE","NUMBER(10,7)","Yes","0 ",167,"其他費用"
"OPERATION_FEE_RATE","NUMBER(10,4)","Yes","0 ",158,"作業服務費率"
"ORDINAL","NUMBER(4,0)","Yes","",28,"基金序數 - 用於查詢或報表的排序"
"ORG_RSP_RANGE","NUMBER(5,0)","Yes","",149,"定額原幣級距"
"PAY_DAY","NUMBER(2,0)","Yes","",11,"付款日數 - 買回申請日與付款日差異天數，例如：債券型基金為1 股票型基金為3 海外基金為5"
"PERIOD_MIN","NUMBER(12,0)","Yes","",40,"最低定額申購金額"
"PERIOD_MIN_NTD","NUMBER(12,0)","Yes","",101,"台幣最低定額申購金額"
"PREV_DATE","DATE","Yes","",14,"前一營業日"
"PUR_CUT_OFF","DATE","Yes","",64,"申購關帳時間"
"PUR_DISCOUNT","NUMBER(4,2)","Yes","",164,""
"PUR_NAV_DAY","NUMBER(1,0)","Yes","",89,"最低買回金額"
"RECEIPT_CALENDAR_CODE","VARCHAR2(5 BYTE)","Yes","",162,""
"RECEIPT_DAY","NUMBER(2,0)","Yes","",163,""
"RECEIPT_FREQ","VARCHAR2(2 BYTE)","Yes","",161,""
"REDEMPTION_RULE","VARCHAR2(1 BYTE)","Yes","",106,"買回計算公式  C: 逐筆計算價金 S: 依總單位數計算價金"
