entity_type,entity,recommended_count,not_recommended_count,unknown_count,thread_count,threads,total_mentions
doctor,有一個李醫師,0,1,0,1,https://www.pttweb.cc/bbs/facelift/M.1631539999.A.418,1
doctor,眼袋手術醫師,4,0,1,3,https://www.pttweb.cc/bbs/facelift/M.1626355988.A.693 | https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6 | https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,5
doctor,台北眼袋醫生,3,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690 | https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946,4
doctor,袋手術的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1753961213.A.E61,2
doctor,溝推薦的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5,2
doctor,內開眼袋醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,2
doctor,二修手術醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1703829056.A.C45,2
doctor,溝手術的醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698142851.A.BC2,2
doctor,淚溝手術醫師,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F,2
doctor,問開眼袋醫生,2,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B,2
doctor,黃仁吳醫師,1,0,2,3,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29 | https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598 | https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,3
doctor,的診所和醫生,1,0,1,2,https://www.pttweb.cc/bbs/facelift/M.1632299340.A.038 | https://www.pttweb.cc/bbs/facelift/M.1678870258.A.355,2
doctor,皮手術的醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1760501256.A.575,2
doctor,手術權威醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16,2
doctor,台北哪位醫生,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585,2
doctor,台北眼袋醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967,2
doctor,議診所及醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF,2
doctor,眼袋醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,2
doctor,台北哪家醫師,1,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1626886480.A.335,2
doctor,週二的韓院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1770624717.A.BE9,1
doctor,美感好的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1761892140.A.79B,1
doctor,院或權威醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1754033321.A.E16,1
doctor,萬要慎選醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1749108186.A.762,1
doctor,陳啓傑醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1748338627.A.B7E,1
doctor,陳信宏醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1744786117.A.A6D,1
doctor,推群英黃醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1744085579.A.08E,1
doctor,長這塊的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1742270349.A.644,1
doctor,看到有醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661,1
doctor,的熊貓針醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661,1
doctor,的診所或醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,1
doctor,個月給蕭醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946,1
doctor,多找幾個醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1724037740.A.E7B,1
doctor,台北地區醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1717222586.A.FEC,1
doctor,我給蔡醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,1
doctor,璞美荊醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1710958084.A.37E,1
doctor,要找二修醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1703829056.A.C45,1
doctor,是當年老醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1700914903.A.967,1
doctor,麗線的黃醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E,1
doctor,驗豐富的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E,1
doctor,直接給醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E,1
doctor,曼都給李院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1698114631.A.70E,1
doctor,道找哪位醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1697816579.A.3BF,1
doctor,袋內開的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690,1
doctor,薦的眼袋醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690,1
doctor,華尚水蔡醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780,1
doctor,但我覺得醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780,1
doctor,的傅如鵬醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1692081312.A.780,1
doctor,的診所跟醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
doctor,美博的詹院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1691547424.A.598,1
doctor,很兩極的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2,1
doctor,水的蔡醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2,1
doctor,但是很吃醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1685100009.A.6A2,1
doctor,緻醫美杜醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
doctor,眼科專科醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
doctor,給蕭奕君醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1661419339.A.F29,1
doctor,美診所及醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E,1
doctor,給信任的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E,1
doctor,的張立平醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1660047112.A.16E,1
doctor,想詢問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
doctor,現在問醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
doctor,跟診所及醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
doctor,詢問診所醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
doctor,想知道醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1652692397.A.89F,1
doctor,推薦哪位醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1651405224.A.6D9,1
doctor,一下其他醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F,1
doctor,在如一蕭醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1649560185.A.83F,1
doctor,雖然醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648541415.A.A95,1
doctor,我是給李醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,極緻杜醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1648287684.A.B43,1
doctor,大醫院的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6,1
doctor,眼袋診所醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1640591727.A.FB6,1
doctor,淚溝的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1638883411.A.94B,1
doctor,家推薦的醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1638883411.A.94B,1
doctor,人放心的醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
doctor,蕭奕君醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1635859153.A.A6D,1
doctor,詢了滿多醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1633002101.A.C2B,1
doctor,君綺陳院長,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1632813291.A.5E8,1
doctor,形外科陳醫師,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1632813291.A.5E8,1
doctor,星林敬鈞醫生,1,0,0,1,https://www.pttweb.cc/bbs/facelift/M.1629376673.A.CF1,1
doctor,給余德毅醫生,0,0,2,2,https://www.pttweb.cc/bbs/facelift/M.1695701510.A.690 | https://www.pttweb.cc/bbs/facelift/M.1709200843.A.BF3,2
doctor,找蔡宗岳醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1759389991.A.54B,1
doctor,築美的浦醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1753961213.A.E61,1
doctor,估完覺得醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1750656338.A.AED,1
doctor,莊X揚醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5,1
doctor,知道其他醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1749284377.A.7A5,1
doctor,不完全是醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661,1
doctor,淚溝太吃醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740560246.A.661,1
doctor,蕭x隆醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585,1
doctor,找楊仕安醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1740040827.A.585,1
doctor,余德毅醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,1
doctor,鍾立人醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731901954.A.125,1
doctor,沒有要聽醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731636764.A.946,1
doctor,漾國際錢醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1731297598.A.600,1
doctor,和黃仁吳醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1724666584.A.054,1
doctor,價不錯的醫生,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1724666584.A.054,1
doctor,如果醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1719979703.A.84F,1
doctor,美麗線黃醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A,1
doctor,得這位女醫師,0,0,1,1,https://www.pttweb.cc/bbs/facelift/M.1712945124.A.08A,1
